Data As Of,Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
06/09/2021,01/01/2020,01/31/2020,By Month,2020,1,Arkansas,Nursing home/long term care facility,0,469,21,0,0,21,
06/09/2021,01/01/2020,01/31/2020,By Month,2020,1,Arkansas,Other,0,163,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,01/31/2020,By Month,2020,1,Arkansas,Place of death unknown,0,0,0,0,0,0,
06/09/2021,02/01/2020,02/29/2020,By Month,2020,2,Arkansas,Total - All Places of Death,0,2807,179,0,35,214,
06/09/2021,02/01/2020,02/29/2020,By Month,2020,2,Arkansas,"Healthcare setting, inpatient",0,737,116,0,20,136,
06/09/2021,02/01/2020,02/29/2020,By Month,2020,2,Arkansas,"Healthcare setting, outpatient or emergency room",0,220,,0,,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,02/01/2020,02/29/2020,By Month,2020,2,Arkansas,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,02/01/2020,02/29/2020,By Month,2020,2,Arkansas,Decedent's home,0,894,21,0,,28,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,02/01/2020,02/29/2020,By Month,2020,2,Arkansas,Hospice facility,0,327,21,0,,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,02/01/2020,02/29/2020,By Month,2020,2,Arkansas,Nursing home/long term care facility,0,492,12,0,,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,02/01/2020,02/29/2020,By Month,2020,2,Arkansas,Other,0,132,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,02/01/2020,02/29/2020,By Month,2020,2,Arkansas,Place of death unknown,0,0,0,0,0,0,
06/09/2021,03/01/2020,03/31/2020,By Month,2020,3,Arkansas,Total - All Places of Death,10,2849,196,,29,232,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,03/01/2020,03/31/2020,By Month,2020,3,Arkansas,"Healthcare setting, inpatient",,769,134,,22,163,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,03/01/2020,03/31/2020,By Month,2020,3,Arkansas,"Healthcare setting, outpatient or emergency room",0,198,,0,,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,03/01/2020,03/31/2020,By Month,2020,3,Arkansas,"Healthcare setting, dead on arrival",0,10,0,0,0,0,
06/09/2021,03/01/2020,03/31/2020,By Month,2020,3,Arkansas,Decedent's home,,909,14,,,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,03/01/2020,03/31/2020,By Month,2020,3,Arkansas,Hospice facility,0,312,17,0,,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,03/01/2020,03/31/2020,By Month,2020,3,Arkansas,Nursing home/long term care facility,0,476,19,0,0,19,
06/09/2021,03/01/2020,03/31/2020,By Month,2020,3,Arkansas,Other,0,175,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,03/01/2020,03/31/2020,By Month,2020,3,Arkansas,Place of death unknown,0,0,0,0,0,0,
06/09/2021,04/01/2020,04/30/2020,By Month,2020,4,Arkansas,Total - All Places of Death,61,2687,214,16,,261,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2020,04/30/2020,By Month,2020,4,Arkansas,"Healthcare setting, inpatient",38,665,126,11,,155,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2020,04/30/2020,By Month,2020,4,Arkansas,"Healthcare setting, outpatient or emergency room",,219,14,,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2020,04/30/2020,By Month,2020,4,Arkansas,"Healthcare setting, dead on arrival",,,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2020,04/30/2020,By Month,2020,4,Arkansas,Decedent's home,,949,17,0,0,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2020,04/30/2020,By Month,2020,4,Arkansas,Hospice facility,,197,19,0,0,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2020,04/30/2020,By Month,2020,4,Arkansas,Nursing home/long term care facility,17,468,32,,0,46,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2020,04/30/2020,By Month,2020,4,Arkansas,Other,,182,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2020,04/30/2020,By Month,2020,4,Arkansas,Place of death unknown,0,0,0,0,0,0,
06/09/2021,05/01/2020,05/31/2020,By Month,2020,5,Arkansas,Total - All Places of Death,78,2764,173,30,,224,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,05/01/2020,05/31/2020,By Month,2020,5,Arkansas,"Healthcare setting, inpatient",50,663,114,28,,138,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,05/01/2020,05/31/2020,By Month,2020,5,Arkansas,"Healthcare setting, outpatient or emergency room",,217,,0,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,05/01/2020,05/31/2020,By Month,2020,5,Arkansas,"Healthcare setting, dead on arrival",,10,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,05/01/2020,05/31/2020,By Month,2020,5,Arkansas,Decedent's home,,1058,15,0,,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,05/01/2020,05/31/2020,By Month,2020,5,Arkansas,Hospice facility,,222,17,,0,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,05/01/2020,05/31/2020,By Month,2020,5,Arkansas,Nursing home/long term care facility,16,411,15,0,0,31,
06/09/2021,05/01/2020,05/31/2020,By Month,2020,5,Arkansas,Other,,183,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,05/01/2020,05/31/2020,By Month,2020,5,Arkansas,Place of death unknown,0,0,0,0,0,0,
06/09/2021,06/01/2020,06/30/2020,By Month,2020,6,Arkansas,Total - All Places of Death,169,2906,205,74,0,300,
06/09/2021,06/01/2020,06/30/2020,By Month,2020,6,Arkansas,"Healthcare setting, inpatient",107,779,148,61,0,194,
06/09/2021,06/01/2020,06/30/2020,By Month,2020,6,Arkansas,"Healthcare setting, outpatient or emergency room",11,228,14,,0,19,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,06/01/2020,06/30/2020,By Month,2020,6,Arkansas,"Healthcare setting, dead on arrival",,,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,06/01/2020,06/30/2020,By Month,2020,6,Arkansas,Decedent's home,,1004,18,,0,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,06/01/2020,06/30/2020,By Month,2020,6,Arkansas,Hospice facility,,292,13,,0,19,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,06/01/2020,06/30/2020,By Month,2020,6,Arkansas,Nursing home/long term care facility,31,392,10,,0,37,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,06/01/2020,06/30/2020,By Month,2020,6,Arkansas,Other,,204,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,06/01/2020,06/30/2020,By Month,2020,6,Arkansas,Place of death unknown,0,0,0,0,0,0,
06/09/2021,07/01/2020,07/31/2020,By Month,2020,7,Arkansas,Total - All Places of Death,274,3078,286,129,,432,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,07/01/2020,07/31/2020,By Month,2020,7,Arkansas,"Healthcare setting, inpatient",174,888,194,95,,274,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,07/01/2020,07/31/2020,By Month,2020,7,Arkansas,"Healthcare setting, outpatient or emergency room",13,256,13,,0,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,07/01/2020,07/31/2020,By Month,2020,7,Arkansas,"Healthcare setting, dead on arrival",,,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,07/01/2020,07/31/2020,By Month,2020,7,Arkansas,Decedent's home,22,1040,24,,0,39,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,07/01/2020,07/31/2020,By Month,2020,7,Arkansas,Hospice facility,,263,21,,0,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,07/01/2020,07/31/2020,By Month,2020,7,Arkansas,Nursing home/long term care facility,54,437,29,18,0,65,
06/09/2021,07/01/2020,07/31/2020,By Month,2020,7,Arkansas,Other,,185,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,07/01/2020,07/31/2020,By Month,2020,7,Arkansas,Place of death unknown,0,0,0,0,0,0,
06/09/2021,08/01/2020,08/31/2020,By Month,2020,8,Arkansas,Total - All Places of Death,411,3297,368,182,,597,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,08/01/2020,08/31/2020,By Month,2020,8,Arkansas,"Healthcare setting, inpatient",261,1001,260,142,0,379,
06/09/2021,08/01/2020,08/31/2020,By Month,2020,8,Arkansas,"Healthcare setting, outpatient or emergency room",12,220,10,,0,19,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,08/01/2020,08/31/2020,By Month,2020,8,Arkansas,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,08/01/2020,08/31/2020,By Month,2020,8,Arkansas,Decedent's home,17,1109,24,,0,37,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,08/01/2020,08/31/2020,By Month,2020,8,Arkansas,Hospice facility,,280,28,,0,32,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,08/01/2020,08/31/2020,By Month,2020,8,Arkansas,Nursing home/long term care facility,106,497,44,29,,121,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,08/01/2020,08/31/2020,By Month,2020,8,Arkansas,Other,,186,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,08/01/2020,08/31/2020,By Month,2020,8,Arkansas,Place of death unknown,0,0,0,0,0,0,
06/09/2021,09/01/2020,09/30/2020,By Month,2020,9,Arkansas,Total - All Places of Death,422,3198,356,199,,579,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,09/01/2020,09/30/2020,By Month,2020,9,Arkansas,"Healthcare setting, inpatient",240,942,240,137,,343,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,09/01/2020,09/30/2020,By Month,2020,9,Arkansas,"Healthcare setting, outpatient or emergency room",15,243,12,,0,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,09/01/2020,09/30/2020,By Month,2020,9,Arkansas,"Healthcare setting, dead on arrival",,,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,09/01/2020,09/30/2020,By Month,2020,9,Arkansas,Decedent's home,17,1036,20,,0,33,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,09/01/2020,09/30/2020,By Month,2020,9,Arkansas,Hospice facility,14,285,30,11,0,33,
06/09/2021,09/01/2020,09/30/2020,By Month,2020,9,Arkansas,Nursing home/long term care facility,133,475,51,42,0,142,
06/09/2021,09/01/2020,09/30/2020,By Month,2020,9,Arkansas,Other,,208,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,09/01/2020,09/30/2020,By Month,2020,9,Arkansas,Place of death unknown,0,0,0,0,0,0,
06/09/2021,10/01/2020,10/31/2020,By Month,2020,10,Arkansas,Total - All Places of Death,626,3462,483,315,,797,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,10/01/2020,10/31/2020,By Month,2020,10,Arkansas,"Healthcare setting, inpatient",371,1078,342,224,0,489,
06/09/2021,10/01/2020,10/31/2020,By Month,2020,10,Arkansas,"Healthcare setting, outpatient or emergency room",26,288,16,,,37,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,10/01/2020,10/31/2020,By Month,2020,10,Arkansas,"Healthcare setting, dead on arrival",,,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,10/01/2020,10/31/2020,By Month,2020,10,Arkansas,Decedent's home,18,1011,19,,0,33,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,10/01/2020,10/31/2020,By Month,2020,10,Arkansas,Hospice facility,24,287,27,15,0,36,
06/09/2021,10/01/2020,10/31/2020,By Month,2020,10,Arkansas,Nursing home/long term care facility,182,588,77,64,,196,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,10/01/2020,10/31/2020,By Month,2020,10,Arkansas,Other,,201,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,10/01/2020,10/31/2020,By Month,2020,10,Arkansas,Place of death unknown,0,0,0,0,0,0,
06/09/2021,11/01/2020,11/30/2020,By Month,2020,11,Arkansas,Total - All Places of Death,845,3714,513,340,,1018,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,11/01/2020,11/30/2020,By Month,2020,11,Arkansas,"Healthcare setting, inpatient",461,1201,369,250,,580,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,11/01/2020,11/30/2020,By Month,2020,11,Arkansas,"Healthcare setting, outpatient or emergency room",23,248,12,,0,32,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,11/01/2020,11/30/2020,By Month,2020,11,Arkansas,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,11/01/2020,11/30/2020,By Month,2020,11,Arkansas,Decedent's home,40,1093,23,11,,52,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,11/01/2020,11/30/2020,By Month,2020,11,Arkansas,Hospice facility,32,299,35,20,0,47,
06/09/2021,11/01/2020,11/30/2020,By Month,2020,11,Arkansas,Nursing home/long term care facility,277,688,66,51,0,292,
06/09/2021,11/01/2020,11/30/2020,By Month,2020,11,Arkansas,Other,12,182,,,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,11/01/2020,11/30/2020,By Month,2020,11,Arkansas,Place of death unknown,0,0,0,0,0,0,
06/09/2021,12/01/2020,12/31/2020,By Month,2020,12,Arkansas,Total - All Places of Death,1131,4126,707,522,,1317,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,12/01/2020,12/31/2020,By Month,2020,12,Arkansas,"Healthcare setting, inpatient",701,1510,550,423,0,828,
06/09/2021,12/01/2020,12/31/2020,By Month,2020,12,Arkansas,"Healthcare setting, outpatient or emergency room",41,301,20,,0,52,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,12/01/2020,12/31/2020,By Month,2020,12,Arkansas,"Healthcare setting, dead on arrival",,,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,12/01/2020,12/31/2020,By Month,2020,12,Arkansas,Decedent's home,67,1222,34,15,,87,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,12/01/2020,12/31/2020,By Month,2020,12,Arkansas,Hospice facility,42,298,25,18,0,49,
06/09/2021,12/01/2020,12/31/2020,By Month,2020,12,Arkansas,Nursing home/long term care facility,270,630,72,56,,286,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,12/01/2020,12/31/2020,By Month,2020,12,Arkansas,Other,,156,,,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,12/01/2020,12/31/2020,By Month,2020,12,Arkansas,Place of death unknown,0,0,0,0,0,0,
06/09/2021,01/01/2021,01/31/2021,By Month,2021,1,Arkansas,Total - All Places of Death,1171,4175,787,591,,1367,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2021,01/31/2021,By Month,2021,1,Arkansas,"Healthcare setting, inpatient",764,1550,600,468,0,896,
06/09/2021,01/01/2021,01/31/2021,By Month,2021,1,Arkansas,"Healthcare setting, outpatient or emergency room",38,280,31,14,0,55,
06/09/2021,01/01/2021,01/31/2021,By Month,2021,1,Arkansas,"Healthcare setting, dead on arrival",,,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2021,01/31/2021,By Month,2021,1,Arkansas,Decedent's home,88,1247,38,20,0,106,
06/09/2021,01/01/2021,01/31/2021,By Month,2021,1,Arkansas,Hospice facility,56,321,42,28,,70,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2021,01/31/2021,By Month,2021,1,Arkansas,Nursing home/long term care facility,204,560,70,56,0,218,
06/09/2021,01/01/2021,01/31/2021,By Month,2021,1,Arkansas,Other,19,210,,,0,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2021,01/31/2021,By Month,2021,1,Arkansas,Place of death unknown,0,0,0,0,0,0,
06/09/2021,02/01/2021,02/28/2021,By Month,2021,2,Arkansas,Total - All Places of Death,469,3212,422,254,,640,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,02/01/2021,02/28/2021,By Month,2021,2,Arkansas,"Healthcare setting, inpatient",318,1090,317,201,,437,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,02/01/2021,02/28/2021,By Month,2021,2,Arkansas,"Healthcare setting, outpatient or emergency room",20,229,10,,0,26,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,02/01/2021,02/28/2021,By Month,2021,2,Arkansas,"Healthcare setting, dead on arrival",0,,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,02/01/2021,02/28/2021,By Month,2021,2,Arkansas,Decedent's home,37,1121,31,15,0,53,
06/09/2021,02/01/2021,02/28/2021,By Month,2021,2,Arkansas,Hospice facility,22,250,25,12,0,35,
06/09/2021,02/01/2021,02/28/2021,By Month,2021,2,Arkansas,Nursing home/long term care facility,67,370,36,22,0,81,
06/09/2021,02/01/2021,02/28/2021,By Month,2021,2,Arkansas,Other,,147,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,02/01/2021,02/28/2021,By Month,2021,2,Arkansas,Place of death unknown,0,0,0,0,0,0,
06/09/2021,03/01/2021,03/31/2021,By Month,2021,3,Arkansas,Total - All Places of Death,197,3027,236,104,,330,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,03/01/2021,03/31/2021,By Month,2021,3,Arkansas,"Healthcare setting, inpatient",148,882,173,85,0,236,
06/09/2021,03/01/2021,03/31/2021,By Month,2021,3,Arkansas,"Healthcare setting, outpatient or emergency room",10,236,,,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,03/01/2021,03/31/2021,By Month,2021,3,Arkansas,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,03/01/2021,03/31/2021,By Month,2021,3,Arkansas,Decedent's home,10,1038,16,,,25,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,03/01/2021,03/31/2021,By Month,2021,3,Arkansas,Hospice facility,11,333,24,,0,29,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,03/01/2021,03/31/2021,By Month,2021,3,Arkansas,Nursing home/long term care facility,16,352,12,,0,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,03/01/2021,03/31/2021,By Month,2021,3,Arkansas,Other,,181,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,03/01/2021,03/31/2021,By Month,2021,3,Arkansas,Place of death unknown,0,0,0,0,0,0,
06/09/2021,04/01/2021,04/30/2021,By Month,2021,4,Arkansas,Total - All Places of Death,78,2729,167,37,0,208,
06/09/2021,04/01/2021,04/30/2021,By Month,2021,4,Arkansas,"Healthcare setting, inpatient",48,783,120,27,0,141,
06/09/2021,04/01/2021,04/30/2021,By Month,2021,4,Arkansas,"Healthcare setting, outpatient or emergency room",,187,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2021,04/30/2021,By Month,2021,4,Arkansas,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2021,04/30/2021,By Month,2021,4,Arkansas,Decedent's home,11,981,16,,0,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2021,04/30/2021,By Month,2021,4,Arkansas,Hospice facility,,272,13,,0,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2021,04/30/2021,By Month,2021,4,Arkansas,Nursing home/long term care facility,12,335,11,,0,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2021,04/30/2021,By Month,2021,4,Arkansas,Other,0,167,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2021,04/30/2021,By Month,2021,4,Arkansas,Place of death unknown,0,0,0,0,0,0,
06/09/2021,05/01/2021,05/31/2021,By Month,2021,5,Arkansas,Total - All Places of Death,74,2440,145,34,0,185,
06/09/2021,05/01/2021,05/31/2021,By Month,2021,5,Arkansas,"Healthcare setting, inpatient",51,649,116,29,0,138,
06/09/2021,05/01/2021,05/31/2021,By Month,2021,5,Arkansas,"Healthcare setting, outpatient or emergency room",0,170,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,05/01/2021,05/31/2021,By Month,2021,5,Arkansas,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,05/01/2021,05/31/2021,By Month,2021,5,Arkansas,Decedent's home,,896,,,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,05/01/2021,05/31/2021,By Month,2021,5,Arkansas,Hospice facility,,286,,,0,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,05/01/2021,05/31/2021,By Month,2021,5,Arkansas,Nursing home/long term care facility,,304,,,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,05/01/2021,05/31/2021,By Month,2021,5,Arkansas,Other,0,133,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,05/01/2021,05/31/2021,By Month,2021,5,Arkansas,Place of death unknown,0,0,0,0,0,0,
06/09/2021,06/01/2021,06/05/2021,By Month,2021,6,Arkansas,Total - All Places of Death,,134,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,06/01/2021,06/05/2021,By Month,2021,6,Arkansas,"Healthcare setting, inpatient",,28,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,06/01/2021,06/05/2021,By Month,2021,6,Arkansas,"Healthcare setting, outpatient or emergency room",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,06/01/2021,06/05/2021,By Month,2021,6,Arkansas,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/09/2021,06/01/2021,06/05/2021,By Month,2021,6,Arkansas,Decedent's home,0,51,0,0,0,0,
06/09/2021,06/01/2021,06/05/2021,By Month,2021,6,Arkansas,Hospice facility,,22,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,06/01/2021,06/05/2021,By Month,2021,6,Arkansas,Nursing home/long term care facility,0,26,0,0,0,0,
06/09/2021,06/01/2021,06/05/2021,By Month,2021,6,Arkansas,Other,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,06/01/2021,06/05/2021,By Month,2021,6,Arkansas,Place of death unknown,0,0,0,0,0,0,
06/09/2021,01/01/2020,01/31/2020,By Month,2020,1,California,Total - All Places of Death,,25761,2028,,274,2302,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,01/31/2020,By Month,2020,1,California,"Healthcare setting, inpatient",,8496,1535,,228,1763,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,01/31/2020,By Month,2020,1,California,"Healthcare setting, outpatient or emergency room",0,1615,95,0,14,109,
06/09/2021,01/01/2020,01/31/2020,By Month,2020,1,California,"Healthcare setting, dead on arrival",0,13,0,0,0,0,
06/09/2021,01/01/2020,01/31/2020,By Month,2020,1,California,Decedent's home,0,9106,172,0,22,194,
06/09/2021,01/01/2020,01/31/2020,By Month,2020,1,California,Hospice facility,0,408,19,0,0,19,
06/09/2021,01/01/2020,01/31/2020,By Month,2020,1,California,Nursing home/long term care facility,0,3749,158,0,,165,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,01/31/2020,By Month,2020,1,California,Other,0,2374,49,0,,52,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
